source_group,completion_lm_file,jsonl_records,completion_samples_estimate
searcharray,mcminer/searcharray/traver/Llama-3.1-70B-Instruct/low_level/round_3/completion_lm.jsonl,5,50
searcharray,mcminer/searcharray/traver/Llama-3.1-70B-Instruct/low_level/round_4/completion_lm.jsonl,4,40
searcharray,mcminer/searcharray/traver/Llama-3.1-70B-Instruct/low_level/round_5/completion_lm.jsonl,4,40
searcharray,mcminer/searcharray/traver/Llama-3.1-70B-Instruct/low_level/round_6/completion_lm.jsonl,4,40
searcharray,mcminer/searcharray/traver/Llama-3.1-70B-Instruct/low_level/round_7/completion_lm.jsonl,4,40
searcharray,mcminer/searcharray/traver/Llama-3.1-70B-Instruct/low_level/round_8/completion_lm.jsonl,4,40
searcharray,mcminer/searcharray/traver/Llama-3.1-70B-Instruct/med_level/round_1/completion_lm.jsonl,6,60
searcharray,mcminer/searcharray/traver/Llama-3.1-70B-Instruct/med_level/round_2/completion_lm.jsonl,4,40
searcharray,mcminer/searcharray/traver/Llama-3.1-70B-Instruct/med_level/round_3/completion_lm.jsonl,4,40
searcharray,mcminer/searcharray/traver/Llama-3.1-70B-Instruct/med_level/round_4/completion_lm.jsonl,4,40
searcharray,mcminer/searcharray/traver/Llama-3.1-70B-Instruct/med_level/round_5/completion_lm.jsonl,4,40
searcharray,mcminer/searcharray/traver/Llama-3.1-70B-Instruct/med_level/round_6/completion_lm.jsonl,4,40
searcharray,mcminer/searcharray/traver/Llama-3.1-70B-Instruct/med_level/round_7/completion_lm.jsonl,4,40
searcharray,mcminer/searcharray/traver/Llama-3.1-70B-Instruct/med_level/round_8/completion_lm.jsonl,4,40
xinhua,mcminer/xinhua/traver/Llama-3.1-70B-Instruct/high_level/round_1/completion_lm.jsonl,1,10
xinhua,mcminer/xinhua/traver/Llama-3.1-70B-Instruct/low_level/round_1/completion_lm.jsonl,1,10
xinhua,mcminer/xinhua/traver/Llama-3.1-70B-Instruct/low_level/round_2/completion_lm.jsonl,1,10
xinhua,mcminer/xinhua/traver/Llama-3.1-70B-Instruct/med_level/round_1/completion_lm.jsonl,1,10
easyvolcap,Coding-Tutor/output/student_posttest/easyvolcap/traver/Llama-3.1-70B-Instruct/high_level/round_1/completion_lm.jsonl,12,120
easyvolcap,Coding-Tutor/output/student_posttest/easyvolcap/traver/Llama-3.1-70B-Instruct/high_level/round_2/completion_lm.jsonl,10,100
easyvolcap,Coding-Tutor/output/student_posttest/easyvolcap/traver/Llama-3.1-70B-Instruct/high_level/round_3/completion_lm.jsonl,10,100
easyvolcap,Coding-Tutor/output/student_posttest/easyvolcap/traver/Llama-3.1-70B-Instruct/high_level/round_4/completion_lm.jsonl,10,100
easyvolcap,Coding-Tutor/output/student_posttest/easyvolcap/traver/Llama-3.1-70B-Instruct/high_level/round_5/completion_lm.jsonl,10,100
easyvolcap,Coding-Tutor/output/student_posttest/easyvolcap/traver/Llama-3.1-70B-Instruct/high_level/round_6/completion_lm.jsonl,10,100
easyvolcap,Coding-Tutor/output/student_posttest/easyvolcap/traver/Llama-3.1-70B-Instruct/high_level/round_7/completion_lm.jsonl,10,100
easyvolcap,Coding-Tutor/output/student_posttest/easyvolcap/traver/Llama-3.1-70B-Instruct/high_level/round_8/completion_lm.jsonl,10,100
easyvolcap,Coding-Tutor/output/student_posttest/easyvolcap/traver/Llama-3.1-70B-Instruct/low_level/round_1/completion_lm.jsonl,12,120
easyvolcap,Coding-Tutor/output/student_posttest/easyvolcap/traver/Llama-3.1-70B-Instruct/low_level/round_2/completion_lm.jsonl,10,100
easyvolcap,Coding-Tutor/output/student_posttest/easyvolcap/traver/Llama-3.1-70B-Instruct/low_level/round_3/completion_lm.jsonl,10,100
easyvolcap,Coding-Tutor/output/student_posttest/easyvolcap/traver/Llama-3.1-70B-Instruct/low_level/round_4/completion_lm.jsonl,10,100
easyvolcap,Coding-Tutor/output/student_posttest/easyvolcap/traver/Llama-3.1-70B-Instruct/low_level/round_5/completion_lm.jsonl,10,100
easyvolcap,Coding-Tutor/output/student_posttest/easyvolcap/traver/Llama-3.1-70B-Instruct/low_level/round_6/completion_lm.jsonl,10,100
easyvolcap,Coding-Tutor/output/student_posttest/easyvolcap/traver/Llama-3.1-70B-Instruct/low_level/round_7/completion_lm.jsonl,10,100
easyvolcap,Coding-Tutor/output/student_posttest/easyvolcap/traver/Llama-3.1-70B-Instruct/low_level/round_8/completion_lm.jsonl,10,100
easyvolcap,Coding-Tutor/output/student_posttest/easyvolcap/traver/Llama-3.1-70B-Instruct/med_level/round_1/completion_lm.jsonl,12,120
easyvolcap,Coding-Tutor/output/student_posttest/easyvolcap/traver/Llama-3.1-70B-Instruct/med_level/round_2/completion_lm.jsonl,10,100
easyvolcap,Coding-Tutor/output/student_posttest/easyvolcap/traver/Llama-3.1-70B-Instruct/med_level/round_3/completion_lm.jsonl,10,100
easyvolcap,Coding-Tutor/output/student_posttest/easyvolcap/traver/Llama-3.1-70B-Instruct/med_level/round_4/completion_lm.jsonl,10,100
easyvolcap,Coding-Tutor/output/student_posttest/easyvolcap/traver/Llama-3.1-70B-Instruct/med_level/round_5/completion_lm.jsonl,10,100
easyvolcap,Coding-Tutor/output/student_posttest/easyvolcap/traver/Llama-3.1-70B-Instruct/med_level/round_6/completion_lm.jsonl,10,100
easyvolcap,Coding-Tutor/output/student_posttest/easyvolcap/traver/Llama-3.1-70B-Instruct/med_level/round_7/completion_lm.jsonl,10,100
easyvolcap,Coding-Tutor/output/student_posttest/easyvolcap/traver/Llama-3.1-70B-Instruct/med_level/round_8/completion_lm.jsonl,10,100
